Anno;Quartiere;Genere;Ipotesi_alta;Ipotesi_media;Ipotesi_bassa
2022;Vle Monza;Maschi;136;137;137
2022;Washington;Femmine;156;155;155
2022;Washington;Maschi;118;118;118
2022;XXII Marzo;Femmine;171;171;171
2022;XXII Marzo;Maschi;139;139;139
2022;Quartieri residuali;Femmine;21;21;21
2022;Quartieri residuali;Maschi;10;11;11
2023;Adriano;Femmine;36;36;36
2023;Adriano;Maschi;51;51;51
2023;Affori;Femmine;110;110;110
2023;Affori;Maschi;105;103;102
2023;Baggio;Femmine;185;185;185
2023;Baggio;Maschi;158;158;158
2023;Bande Nere;Femmine;288;286;286
2023;Bande Nere;Maschi;230;229;229
2023;Barona;Femmine;123;123;123
2023;Barona;Maschi;101;101;101
2023;Bicocca;Femmine;17;18;18
2023;Bicocca;Maschi;16;17;17
2023;Bovisa;Femmine;52;52;52
2023;Bovisa;Maschi;48;48;48
2023;Bovisasca;Femmine;46;46;46
2023;Bovisasca;Maschi;40;38;38
2023;Brera;Femmine;83;83;83
2023;Brera;Maschi;77;77;77
2023;Bruzzano;Femmine;36;36;36
2023;Bruzzano;Maschi;53;53;53
2023;Buenos Aires - Venezia;Femmine;342;342;342
2023;Buenos Aires - Venezia;Maschi;307;307;306
2023;Centrale;Femmine;82;82;82
2023;Centrale;Maschi;73;73;73
2023;Città Studi;Femmine;215;215;215
2023;Città Studi;Maschi;168;169;169
2023;Comasina;Femmine;48;48;48
2023;Comasina;Maschi;37;38;38
2023;Corsica;Femmine;114;114;114
2023;Corsica;Maschi;92;92;92
2023;De Angeli - Monte Rosa;Femmine;117;118;118
2023;De Angeli - Monte Rosa;Maschi;90;90;90
2023;Dergano;Femmine;91;91;91
2023;Dergano;Maschi;90;90;90
2023;Duomo;Femmine;76;76;76
2023;Duomo;Maschi;69;69;69
2023;Ex OM - Morivione;Femmine;56;56;56
2023;Ex OM - Morivione;Maschi;24;24;24
2023;Farini;Femmine;6;6;6
2023;Farini;Maschi;6;6;6
2023;Forze Armate;Femmine;147;147;147
2023;Forze Armate;Maschi;129;129;129
2023;Gallaratese;Femmine;252;252;252
2023;Gallaratese;Maschi;223;223;223
2023;Garibaldi Repubblica;Femmine;26;26;26
2023;Garibaldi Repubblica;Maschi;15;15;15
2023;Ghisolfa;Femmine;86;85;85
2023;Ghisolfa;Maschi;74;74;74
2023;Giambellino;Femmine;163;163;163
2023;Giambellino;Maschi;128;128;127
2023;Gratosoglio - Ticinello;Femmine;100;100;100
