"Cittadinanza";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Cipro";12,00;15,00;22,00;29,00;38,00;43,00;43,00;43,00;38,00;39,00;44,00;45,00;17,00;0,00;44,00;47,00;47,00;46,00;46,00;47,00;50,00;51,00;55,00;51,00;9,00;10,00;10,00;10,00;10,00;10,00;15,00;15,00;17,00;22,00;23,00;24,00
"Città del Vaticano";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Colombia";36,00;34,00;46,00;55,00;60,00;71,00;66,00;78,00;81,00;98,00;115,00;153,00;113,00;0,00;219,00;220,00;235,00;256,00;298,00;338,00;369,00;458,00;550,00;593,00;528,00;831,00;951,00;948,00;936,00;907,00;992,00;1024,00;1085,00;1174,00;1138,00;978,00
"Comore";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Congo";2,00;2,00;2,00;2,00;2,00;2,00;2,00;4,00;7,00;7,00;7,00;8,00;12,00;0,00;61,00;20,00;21,00;27,00;30,00;29,00;34,00;43,00;67,00;77,00;75,00;99,00;123,00;126,00;143,00;130,00;126,00;116,00;115,00;119,00;115,00;79,00
"Congo, Rep. Dem. (Zaire)";15,00;25,00;28,00;31,00;36,00;34,00;29,00;33,00;21,00;20,00;22,00;24,00;18,00;0,00;0,00;50,00;46,00;58,00;71,00;84,00;85,00;87,00;88,00;81,00;53,00;65,00;75,00;78,00;82,00;83,00;100,00;101,00;101,00;103,00;100,00;104,00
"Corea, Rep. Pop. Dem. (Corea del Nord)";1,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;4,00;4,00;4,00;4,00;26,00;0,00;5,00;5,00;5,00;4,00;3,00;3,00;3,00;3,00;3,00;3,00;0,00;3,00;3,00;4,00;4,00;4,00;4,00;4,00;4,00;5,00;4,00;0,00
"Corea, Repubblica (Corea del Sud)";73,00;71,00;91,00;107,00;107,00;127,00;135,00;147,00;166,00;180,00;192,00;239,00;136,00;0,00;311,00;2,00;426,00;459,00;504,00;574,00;599,00;636,00;706,00;726,00;375,00;400,00;458,00;475,00;494,00;516,00;564,00;583,00;637,00;700,00;741,00;553,00
"Costa d'Avorio";22,00;25,00;31,00;35,00;38,00;41,00;34,00;42,00;44,00;50,00;55,00;63,00;53,00;0,00;120,00;125,00;120,00;134,00;189,00;240,00;246,00;253,00;263,00;239,00;189,00;210,00;231,00;237,00;233,00;240,00;257,00;277,00;268,00;351,00;308,00;295,00
"Costarica";1,00;1,00;1,00;2,00;7,00;8,00;6,00;7,00;9,00;10,00;11,00;12,00;8,00;0,00;15,00;13,00;14,00;15,00;18,00;23,00;22,00;21,00;20,00;19,00;8,00;10,00;15,00;15,00;14,00;13,00;12,00;12,00;13,00;18,00;16,00;11,00
"Croazia";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;70,00;176,00;306,00;345,00;385,00;440,00;458,00;457,00;492,00;459,00;350,00;374,00;414,00;406,00;408,00;392,00;393,00;403,00;404,00;480,00;454,00;391,00
"Cuba";9,00;14,00;17,00;20,00;24,00;22,00;22,00;24,00;17,00;19,00;15,00;19,00;15,00;0,00;42,00;50,00;67,00;87,00;114,00;179,00;220,00;279,00;352,00;393,00;335,00;399,00;491,00;514,00;507,00;514,00;582,00;613,00;658,00;726,00;714,00;689,00
"Danimarca";55,00;55,00;58,00;50,00;62,00;67,00;65,00;67,00;77,00;82,00;94,00;94,00;60,00;0,00;131,00;146,00;159,00;163,00;183,00;199,00;198,00;214,00;211,00;201,00;104,00;109,00;118,00;117,00;118,00;121,00;133,00;149,00;154,00;154,00;152,00;103,00
"Dominica";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;22,00;27,00;23,00;18,00;15,00;13,00;10,00;8,00;9,00;7,00;7,00;5,00;5,00;5,00;7,00;7,00;7,00;7,00;5,00
"Dominicana, Repubblica";10,00;11,00;15,00;15,00;25,00;28,00;26,00;25,00;41,00;64,00;75,00;97,00;86,00;0,00;182,00;211,00;265,00;274,00;352,00;517,00;564,00;641,00;735,00;764,00;649,00;723,00;807,00;842,00;847,00;844,00;980,00;1047,00;1107,00;1209,00;1239,00;1190,00
"Ecuador";8,00;8,00;9,00;13,00;14,00;16,00;17,00;18,00;23,00;34,00;34,00;60,00;71,00;0,00;97,00;108,00;149,00;203,00;441,00;751,00;1101,00;2006,00;2714,00;3157,00;4163,00;10518,00;12356,00;12680,00;12348,00;12137,00;12884,00;13542,00;14232,00;14909,00;14748,00;13524,00
"Egitto";706,00;873,00;1237,00;1658,00;2201,00;2498,00;2687,00;2798,00;3167,00;3574,00;3829,00;4536,00;2934,00;6360,00;6834,00;7325,00;7473,00;8154,00;9439,00;11075,00;11842,00;13309,00;15581,00;15670,00;13020,00;18529,00;20992,00;22137,00;22934,00;23518,00;25838,00;28643,00;31999,00;35970,00;37073,00;35597,00
"El Salvador";38,00;49,00;99,00;154,00;203,00;247,00;278,00;303,00;431,00;494,00;507,00;632,00;430,00;859,00;941,00;1035,00;1127,00;1163,00;1278,00;1501,00;1568,00;1751,00;1926,00;1933,00;1796,00;2273,00;2497,00;2556,00;2553,00;2562,00;2739,00;3133,00;3720,00;4268,00;4503,00;4694,00
"Emirati Arabi Uniti";3,00;3,00;0,00;3,00;3,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"Eritrea";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;48,00;317,00;438,00;658,00;849,00;1106,00;1379,00;1582,00;1646,00;1500,00;1706,00;1988,00;2138,00;2316,00;2356,00;2510,00;2585,00;2498,00;2518,00;2339,00;1807,00
